C1_B,C2_B,C3_B,C4_B,,C1_G,C2_G,C3_G,C4_G,C1_BG,C4_BG,DropoutRate,TOT_6_10_15,Enrolled_primary,P_Enrollment_Rate,P_URB_POP,OVERALL_LIT_Rate,FEMALE_LIT,SCH1,SCH2,SCH3,SCH6,Total_schools_withPrimary,SCOMP1,SCOMP2,SCOMP3,SCOMP6,Schools_with_computers,Percent_schools_with_computers,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL6,Schools_with_boys_toilets,Percent_schools_with_boys_toilet,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL6,Schools_with_girls_toilets,Percent_schools_with_girls_toilet,SPLAY1,SPLAY2,SPLAY3,SPLAY6,Schools_with_playground,Percent_schools_with_playground,SWAT1,SWAT2,SWAT3,SWAT6,Schools_with_drinking_water,Percent_schools_with_drinking_water,SELE1,SELE2,SELE3,SELE6,Schools_with_electricity,Percent_schools_with_electricity,ROAD1,ROAD2,ROAD3,ROAD6,Schools_with_Roads,Percent_schools_with_Roads,CLS1,CLS2,CLS3,CLS6,Number of Classrooms,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ6G,Classrooms_requiring_major repair,Percent_classrooms_requiring_major repair,STCH1,STCH2,STCH3,STCH6,Total_sinle_teacher_schools,Percent_single_teacher_schools
11194,9062,8377,8406,24.90619975,11102,8615,8274,8190,22296,16596,25.56512379,135672,73220,53.96839436,11.33,66.92,54.79,1107,818,2,84,2011,23,92,1,39,155,7.707608155,800,753,2,82,1637,81.40228742,963,791,2,82,1838,91.39731477,105,241,1,47,394,19.59224267,836,702,2,77,1617,80.40775733,44,69,2,40,155,7.707608155,836,649,2,68,1555,77.32471407,3489,5315,27,852,9683,199,512,0,64,775,8.003717856,104,0,0,0,104,5.17155644
20820,11118,10962,10617,49.00576369,19911,10710,10676,10450,40731,21067,48.27772458,117874,105264,89.30213618,17.19,66.93,55.01,1215,825,9,176,2225,24,123,7,85,239,10.74157303,1206,819,9,174,2208,99.23595506,1209,822,9,174,2214,99.50561798,211,357,8,126,702,31.5505618,1068,776,9,172,2025,91.01123596,278,330,9,132,749,33.66292135,1052,766,9,165,1992,89.52808989,4127,5800,210,1665,11802,400,544,0,82,1026,8.69344179,95,0,0,0,95,4.269662921
8521,7856,7721,7739,9.177326605,7893,7591,7375,7324,16414,15063,8.230778604,113560,62020,54.61430081,98.73,71.21,63.47,258,417,36,263,974,38,209,36,213,496,50.92402464,234,397,34,244,909,93.32648871,182,367,32,253,834,85.62628337,78,268,33,222,601,61.70431211,254,407,36,262,959,98.45995893,96,212,36,253,597,61.2936345,248,411,36,261,956,98.15195072,817,3284,886,2873,7860,0,19,0,39,58,0.737913486,17,0,0,0,17,1.745379877
7927,6725,6225,6033,23.89302384,7577,6359,6160,6019,15504,12052,22.26522188,118477,53025,44.75552217,11.74,57.98,46.6,755,537,10,98,1400,19,100,9,68,196,14,754,532,9,96,1391,99.35714286,752,535,10,98,1395,99.64285714,129,238,10,79,456,32.57142857,755,537,10,98,1400,100,70,78,10,64,222,15.85714286,735,528,10,98,1371,97.92857143,2290,3837,119,1035,7281,194,271,2,50,517,7.100672984,35,0,0,0,35,2.5
4808,4189,3923,3976,17.30449251,4754,3927,3717,3782,9562,7758,18.86634595,64493,33076,51.2861861,13.8,65,53.81,532,339,4,94,969,18,89,4,69,180,18.57585139,384,308,4,91,787,81.21775026,411,323,4,94,832,85.86171311,93,165,2,80,340,35.0877193,499,333,4,94,930,95.9752322,29,76,4,76,185,19.09184727,486,324,4,93,907,93.60165119,1688,2584,151,1101,5524,161,257,0,4,422,7.639391745,52,0,0,0,52,5.366357069
9056,8383,7911,7930,12.43374558,8328,7551,7527,7712,17384,15642,10.0207087,150600,64398,42.76095618,26.04,64.32,54.15,779,869,10,160,1818,56,172,10,90,328,18.04180418,713,835,9,157,1714,94.27942794,721,853,9,160,1743,95.87458746,133,318,10,106,567,31.18811881,727,831,10,158,1726,94.93949395,52,131,10,122,315,17.32673267,698,801,10,149,1658,91.19911991,2650,5862,152,1592,10256,154,469,0,59,682,6.649765991,69,0,0,0,69,3.795379538
1159,1050,1046,1037,10.52631579,1141,987,908,926,2300,1963,14.65217391,9066,8254,91.04345908,42.96,80.48,64.52,176,145,3,46,370,19,84,3,41,147,39.72972973,172,144,3,46,365,98.64864865,156,142,3,46,347,93.78378378,66,99,3,38,206,55.67567568,117,111,1,40,269,72.7027027,30,34,3,42,109,29.45945946,159,135,3,46,343,92.7027027,604,1059,45,473,2181,34,65,0,33,132,6.052269601,5,0,0,0,5,1.351351351
1499,1347,1288,1180,21.2808539,1535,1378,1285,1264,3034,2444,19.44627554,15468,10776,69.66640807,8.89,74.49,58.05,229,289,6,27,551,19,67,6,19,111,20.14519056,229,281,6,26,542,98.36660617,227,287,6,27,547,99.27404719,28,108,4,18,158,28.67513612,110,186,6,20,322,58.43920145,4,14,6,8,32,5.807622505,210,276,6,27,519,94.1923775,716,1469,69,220,2474,59,108,0,5,172,6.952303961,56,3,0,0,59,10.70780399
6522,5448,5222,5029,22.891751,6005,5041,5057,4645,12527,9674,22.77480642,52488,42969,81.86442615,7.95,65.97,50.34,756,533,18,130,1437,15,39,10,38,102,7.098121086,754,533,17,130,1434,99.79123173,756,531,18,130,1435,99.86082116,143,171,13,69,396,27.55741127,633,484,18,128,1263,87.8914405,51,45,10,68,174,12.1085595,578,366,16,97,1057,73.55601949,2073,2354,165,766,5358,123,168,10,59,360,6.718924972,83,0,0,0,83,5.77592206
6865,6492,6776,6521,5.010924982,6142,5752,6005,5634,13007,12155,6.550319059,61091,50187,82.15121704,19.72,69.9,58.22,983,557,36,155,1731,27,93,30,62,212,12.24725592,573,455,35,140,1203,69.49740035,782,530,36,150,1498,86.5395725,204,256,32,117,609,35.18197574,945,552,36,155,1688,97.51588677,146,200,36,123,505,29.17388793,516,364,36,121,1037,59.90756788,2256,3080,520,1151,7007,156,309,3,83,551,7.863565006,159,10,0,0,169,9.763142692
9134,7128,6681,6485,29.00153273,8263,6526,6057,6121,17397,12606,27.5392309,64075,56395,88.01404604,8.1,68.69,54.8,1037,530,10,100,1677,26,66,9,37,138,8.228980322,731,442,9,82,1264,75.37268933,890,490,10,96,1486,88.61061419,110,163,8,68,349,20.81097197,708,405,10,83,1206,71.91413238,57,74,10,79,220,13.11866428,523,350,10,71,954,56.88729875,2616,2587,137,703,6043,253,408,7,98,766,12.67582327,120,0,0,0,120,7.155635063
11027,9520,9114,8600,22.00961277,10168,8365,7872,8075,21195,16675,21.32578438,81895,72741,88.82227242,7.09,68.54,57.2,1112,634,39,161,1946,63,114,34,93,304,15.62178828,1089,620,38,160,1907,97.995889,1072,627,39,161,1899,97.58478931,282,325,38,140,785,40.33915725,1011,589,39,157,1796,92.29188078,136,149,38,123,446,22.91880781,662,444,30,121,1257,64.59403905,2877,3186,400,1089,7552,214,375,12,102,703,9.308792373,165,2,0,0,167,8.581706064
16425,15311,15129,14945,9.01065449,13520,12665,12529,12234,29945,27179,9.23693438,121628,112758,92.70727135,49.65,83.98,77.41,1078,690,173,444,2385,82,282,167,332,863,36.18448637,955,671,168,431,2225,93.29140461,970,671,172,441,2254,94.50733753,586,545,168,402,1701,71.32075472,1025,685,173,443,2326,97.52620545,387,484,172,412,1455,61.00628931,914,648,171,433,2166,90.81761006,2828,4972,3334,4622,15756,151,258,15,86,510,3.236862148,254,5,0,0,259,10.85953878
7273,6857,6611,6642,8.675924653,6097,5676,5625,5619,13370,12261,8.294689604,61407,50400,82.07533343,14.38,73.5,64.56,989,501,66,185,1741,21,86,55,75,237,13.61286617,757,442,64,170,1433,82.30901781,914,480,66,184,1644,94.42848937,363,312,63,166,904,51.9241815,981,499,66,185,1731,99.42561746,177,269,66,164,676,38.82825962,689,393,65,153,1300,74.66973004,2449,2943,859,1493,7744,100,197,6,79,382,4.93285124,218,2,0,0,220,12.63641585
3320,2770,2693,2863,13.76506024,3172,2679,2586,2772,6492,5635,13.2008626,28786,22855,79.39623428,5.62,62.49,52.77,349,209,3,66,627,18,59,3,46,126,20.09569378,343,208,3,64,618,98.5645933,348,209,2,66,625,99.68102073,72,111,3,57,243,38.75598086,349,209,3,66,627,100,51,65,3,49,168,26.79425837,328,206,3,66,603,96.1722488,1128,1657,56,681,3522,58,85,0,11,154,4.372515616,19,0,0,0,19,3.03030303
4391,4216,4014,3736,14.91687543,4028,4036,3756,3535,8419,7271,13.63582373,46005,31712,68.93163787,16.89,57.82,46.24,401,379,5,39,824,6,52,4,19,81,9.830097087,398,374,5,38,815,98.90776699,387,377,5,39,808,98.05825243,68,157,5,29,259,31.43203883,401,379,5,39,824,100,11,32,5,21,69,8.373786408,367,365,5,39,776,94.17475728,1069,2162,46,347,3624,64,166,0,24,254,7.008830022,19,0,0,0,19,2.305825243
4058,3015,2868,2671,34.17939872,3670,2719,2585,2442,7728,5113,33.83799172,29055,24028,82.69833075,6.42,58.54,44.13,470,324,3,65,862,19,36,3,19,77,8.932714617,414,297,3,59,773,89.67517401,403,305,3,64,775,89.90719258,49,50,1,22,122,14.15313225,451,312,3,65,831,96.4037123,34,28,3,32,97,11.25290023,318,223,3,49,593,68.79350348,1198,1197,41,341,2777,85,151,0,46,282,10.15484336,33,2,0,0,35,4.060324826
4984,4398,4247,3864,22.47191011,4591,3892,3901,3317,9575,7181,25.00261097,41326,33194,80.32231525,4.16,56.9,40.04,554,279,3,79,915,10,39,2,27,78,8.524590164,551,278,3,76,908,99.23497268,527,273,3,77,880,96.17486339,76,95,3,55,229,25.0273224,531,273,3,78,885,96.72131148,158,145,3,58,364,39.78142077,343,200,3,60,606,66.2295082,1407,1335,14,439,3195,120,171,0,39,330,10.3286385,66,4,0,0,70,7.650273224
3461,2796,2769,2710,21.69893094,3153,2616,2560,2549,6614,5259,20.48684608,37151,22614,60.87050147,15.76,59.99,47.62,372,214,3,68,657,11,60,3,46,120,18.26484018,301,199,3,62,565,85.99695586,254,206,3,67,530,80.66971081,77,102,2,56,237,36.07305936,321,207,3,68,599,91.17199391,28,49,3,60,140,21.30898021,332,200,3,67,602,91.62861492,1124,1430,44,782,3380,60,160,0,17,237,7.01183432,14,0,0,0,14,2.130898021
5153,4196,3871,3876,24.78168057,5179,3989,3689,3602,10332,7478,27.62291909,48981,33555,68.50615545,18.77,60.35,49.74,424,450,2,64,940,22,73,1,33,129,13.72340426,420,439,2,63,924,98.29787234,420,446,2,64,932,99.14893617,69,137,2,44,252,26.80851064,376,434,2,64,876,93.19148936,30,84,1,42,157,16.70212766,299,366,1,54,720,76.59574468,1442,3161,22,697,5322,55,300,0,15,370,6.952273581,19,0,0,0,19,2.021276596
5438,4788,4743,4266,21.55204119,4819,4201,4131,3853,10257,8119,20.84430145,40695,36239,89.05025187,8.49,59.42,47.55,711,389,10,83,1193,29,56,6,20,111,9.304274937,710,388,10,82,1190,99.74853311,711,386,10,83,1190,99.74853311,108,155,9,48,320,26.82313495,711,389,10,83,1193,100,79,136,7,43,265,22.21290863,222,194,8,51,475,39.81559095,1456,1592,98,470,3616,136,167,2,36,341,9.430309735,77,6,0,0,83,6.957250629
3567,3094,3296,3406,4.51359686,2878,2703,2589,2554,6445,5960,7.525213344,27998,24087,86.03114508,16.83,82.48,74.39,317,225,35,106,683,36,103,35,74,248,36.31039531,233,209,35,101,578,84.62664714,268,212,35,106,621,90.92240117,145,145,34,91,415,60.761347,288,221,35,106,650,95.16837482,194,206,35,106,541,79.20937042,257,197,35,97,586,85.79795022,867,1608,483,934,3892,60,104,0,30,194,4.984583762,30,1,0,0,31,4.538799414
4987,4815,4983,5085,-1.965109284,4921,4789,4849,5011,9908,10096,-1.897456601,51872,39440,76.03331277,6.98,73.19,62.14,1222,47,19,20,1308,55,38,19,20,132,10.09174312,1218,47,19,20,1304,99.6941896,1217,47,19,20,1303,99.617737,978,43,18,18,1057,80.81039755,1222,47,19,20,1308,100,1062,47,19,20,1148,87.7675841,752,42,19,20,833,63.68501529,4277,403,250,150,5080,637,3,0,0,640,12.5984252,197,1,0,0,198,15.13761468
12085,12020,11512,10910,9.722796856,10978,10904,10538,9500,23063,20410,11.50327364,115686,88447,76.45436786,5.73,86.49,80.62,1806,167,142,198,2313,70,135,130,181,516,22.30869001,1801,167,142,198,2308,99.78383052,1802,167,142,198,2309,99.82706442,1530,161,139,195,2025,87.54863813,1806,167,142,198,2313,100,1771,162,141,196,2270,98.1409425,1554,165,142,195,2056,88.88888889,6040,1502,1792,1848,11182,925,1,6,4,936,8.3705956,158,0,0,0,158,6.830955469
230,194,198,209,9.130434783,227,218,224,197,457,406,11.15973742,2385,1697,71.15303983,,77.24,66.5,201,2,1,3,207,2,2,1,3,8,3.8647343,198,2,1,3,204,98.55072464,196,2,1,3,202,97.58454106,62,1,1,3,67,32.36714976,198,2,1,3,204,98.55072464,112,2,1,3,118,57.00483092,128,2,1,3,134,64.73429952,476,14,10,29,529,34,0,0,0,34,6.427221172,37,0,0,0,37,17.87439614
4031,4005,3995,4109,-1.935003721,3938,3880,3786,3874,7969,7983,-0.175680763,37567,31618,84.16429313,9.43,80.14,71.01,786,73,18,51,928,21,55,17,50,143,15.40948276,785,73,18,51,927,99.89224138,785,73,18,51,927,99.89224138,742,73,18,51,884,95.25862069,781,73,18,51,923,99.4612069,581,71,18,51,721,77.69396552,468,66,18,48,600,64.65517241,2573,590,217,458,3838,320,1,0,0,321,8.36373111,99,0,0,0,99,10.66810345
7818,7784,7775,8068,-3.197748785,7312,7360,7274,7416,15130,15484,-2.339722406,81423,60807,74.68037287,6.27,82.81,74.33,1814,108,117,80,2119,60,73,109,76,318,15.00707881,1809,108,117,80,2114,99.76403964,1810,108,117,80,2115,99.81123171,1619,105,115,76,1915,90.37281737,1810,108,117,80,2115,99.81123171,1787,108,117,80,2092,98.72581406,1257,105,117,79,1558,73.52524776,5868,891,1245,707,8711,753,10,0,0,763,8.759040294,247,0,0,0,247,11.65644172
3864,3992,3829,3364,12.93995859,3497,3601,3359,2756,7361,6120,16.8591224,34712,28262,81.41852962,6.91,89.01,83.44,534,60,52,62,708,54,54,51,60,219,30.93220339,533,60,52,62,707,99.85875706,533,60,52,62,707,99.85875706,534,60,52,62,708,100,534,60,52,62,708,100,534,60,52,62,708,100,494,60,52,60,666,94.06779661,2195,562,572,509,3838,172,0,0,0,172,4.481500782,24,0,0,0,24,3.389830508
4938,4856,4617,4791,2.97691373,4300,4338,4184,3983,9238,8774,5.022732193,42408,36007,84.90614978,8.62,87.23,81.67,519,42,48,31,640,37,34,47,30,148,23.125,518,42,48,31,639,99.84375,518,42,48,31,639,99.84375,487,40,46,31,604,94.375,518,42,48,31,639,99.84375,518,42,48,31,639,99.84375,466,41,46,31,584,91.25,1905,372,631,305,3213,199,0,2,0,201,6.255835668,40,0,0,0,40,6.25
3127,3138,2989,3061,2.110649185,2801,2981,2749,2804,5928,5865,1.062753036,29136,23650,81.17105986,6.58,85.67,78.9,643,57,31,41,772,37,50,30,38,155,20.07772021,643,57,31,41,772,100,643,57,31,41,772,100,554,57,29,40,680,88.08290155,643,57,31,41,772,100,637,57,31,41,766,99.22279793,520,55,31,40,646,83.67875648,2154,518,318,326,3316,322,4,2,6,334,10.07237636,54,0,0,0,54,6.994818653
